,Scrapedate,ranking,Country_Other,Total_Case,New_Cases,Total_Death,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1m_pop,Population
0,2021-03-24,,"

",721,,15.0,,706.0,,0.0,0.0,,,,,
1,2021-03-24,,"
Africa
",4168936,10961.0,111074.0,329.0,3725951.0,8697.0,331911.0,2742.0,,,,,
2,2021-03-24,,"
Asia
",27367776,145539.0,419697.0,1129.0,25356774.0,91600.0,1591305.0,24193.0,,,,,
3,2021-03-24,,"
Oceania
",54948,381.0,1120.0,3.0,34482.0,7.0,19346.0,7.0,,,,,
4,2021-03-24,,"
South America
",20352376,131205.0,526837.0,2823.0,18169578.0,117650.0,1655961.0,19872.0,,,,,
5,2021-03-24,102.0,Afghanistan,56226,34.0,2467.0,1.0,49802.0,50.0,3957.0,1102.0,1421.0,62.0,335925.0,8490.0,39566530.0
6,2021-03-24,81.0,Albania,122295,448.0,2171.0,15.0,87193.0,696.0,32931.0,46.0,42530.0,755.0,535039.0,186069.0,2875486.0
7,2021-03-24,83.0,Algeria,116438,89.0,3069.0,3.0,81065.0,84.0,32304.0,9.0,2621.0,69.0,230553.0,5189.0,44428663.0
8,2021-03-24,136.0,Andorra,11638,47.0,114.0,1.0,11082.0,32.0,442.0,12.0,150447.0,1474.0,193595.0,2502650.0,77356.0
9,2021-03-24,120.0,Angola,21836,62.0,532.0,2.0,20172.0,73.0,1132.0,18.0,650.0,16.0,411165.0,12234.0,33607400.0
10,2021-03-24,213.0,Anguilla,22,,,,20.0,,2.0,,1457.0,,11052.0,731872.0,15101.0
11,2021-03-24,188.0,Antigua and Barbuda,1080,,28.0,,715.0,,337.0,45.0,10962.0,284.0,16190.0,164327.0,98523.0
12,2021-03-24,12.0,Argentina,2269877,8300.0,54946.0,123.0,2049035.0,5078.0,165896.0,3574.0,49888.0,1208.0,8477597.0,186323.0,45499515.0
13,2021-03-24,70.0,Armenia,186184,1164.0,3398.0,14.0,169485.0,313.0,13301.0,,62745.0,1145.0,817406.0,275470.0,2967311.0
14,2021-03-24,147.0,Aruba,8985,83.0,82.0,,8336.0,26.0,567.0,8.0,83894.0,766.0,120462.0,1124772.0,107099.0
15,2021-03-24,114.0,Australia,29218,7.0,909.0,,26253.0,3.0,2056.0,,1136.0,35.0,15287777.0,594477.0,25716344.0
16,2021-03-24,37.0,Austria,523269,3289.0,9151.0,30.0,480597.0,2657.0,33521.0,447.0,57858.0,1012.0,6493316.0,717962.0,9044089.0
17,2021-03-24,54.0,Azerbaijan,249492,1185.0,3404.0,20.0,233834.0,478.0,12254.0,,24445.0,334.0,2799101.0,274257.0,10206114.0
18,2021-03-24,148.0,Bahamas,8935,,188.0,,7757.0,,990.0,3.0,22563.0,475.0,73721.0,186166.0,395996.0
19,2021-03-24,79.0,Bahrain,138283,733.0,507.0,4.0,130397.0,552.0,7379.0,49.0,79274.0,291.0,3464973.0,1986370.0,1744374.0
20,2021-03-24,34.0,Bangladesh,580808,3567.0,8763.0,25.0,527609.0,1915.0,44436.0,,3501.0,53.0,4487686.0,27052.0,165890647.0
21,2021-03-24,172.0,Barbados,3582,8.0,40.0,,3401.0,11.0,141.0,,12453.0,139.0,137567.0,478271.0,287634.0
22,2021-03-24,48.0,Belarus,313852,1378.0,2184.0,9.0,304477.0,1447.0,7191.0,,33222.0,231.0,5253173.0,556066.0,9447038.0
23,2021-03-24,25.0,Belgium,842775,3537.0,22763.0,35.0,55692.0,77.0,764320.0,589.0,72487.0,1958.0,10605652.0,912186.0,11626638.0
24,2021-03-24,135.0,Belize,12410,,317.0,1.0,12047.0,,46.0,,30802.0,787.0,95541.0,237137.0,402893.0
25,2021-03-24,151.0,Benin,7100,282.0,90.0,,5552.0,,1458.0,35.0,575.0,7.0,521218.0,42190.0,12353940.0
26,2021-03-24,192.0,Bermuda,840,,12.0,,715.0,,113.0,,13525.0,193.0,189077.0,3044277.0,62109.0
27,2021-03-24,190.0,Bhutan,870,1.0,1.0,,867.0,,2.0,,1119.0,1.0,578215.0,743373.0,777826.0
28,2021-03-24,51.0,Bolivia,266086,879.0,12093.0,19.0,213779.0,1088.0,40214.0,71.0,22570.0,1026.0,858336.0,72806.0,11789409.0
29,2021-03-24,74.0,Bosnia and Herzegovina,158198,1852.0,6067.0,62.0,127247.0,1010.0,24884.0,,48441.0,1858.0,758540.0,232269.0,3265783.0
30,2021-03-24,109.0,Botswana,37559,,485.0,,32550.0,,4524.0,1.0,15740.0,203.0,901776.0,377908.0,2386229.0
31,2021-03-24,2.0,Brazil,12227179,90564.0,301087.0,2244.0,10689646.0,87988.0,1236446.0,8318.0,57225.0,1409.0,28600000.0,133853.0,213666996.0
32,2021-03-24,203.0,British Virgin Islands,153,,1.0,,131.0,,21.0,,5036.0,33.0,13223.0,435268.0,30379.0
33,2021-03-24,200.0,Brunei ,206,,3.0,,188.0,,15.0,,468.0,7.0,112060.0,254366.0,440546.0
34,2021-03-24,46.0,Bulgaria,317116,4375.0,12413.0,106.0,242311.0,2709.0,62392.0,743.0,45893.0,1796.0,2006166.0,290333.0,6909888.0
35,2021-03-24,134.0,Burkina Faso,12596,24.0,145.0,,12269.0,29.0,182.0,,591.0,7.0,,,21319531.0
36,2021-03-24,174.0,Burundi,2657,29.0,6.0,,773.0,,1878.0,,219.0,5.0,90019.0,7410.0,12147673.0
37,2021-03-24,130.0,Cabo Verde,16661,106.0,163.0,,15889.0,44.0,609.0,23.0,29730.0,291.0,125300.0,223588.0,560406.0
38,2021-03-24,183.0,Cambodia,1817,29.0,5.0,1.0,1033.0,34.0,779.0,,108.0,3.0,654809.0,38773.0,16888078.0
39,2021-03-24,107.0,Cameroon,40622,,601.0,,35261.0,,4760.0,53.0,1503.0,22.0,905000.0,33486.0,27026325.0
40,2021-03-24,23.0,Canada,946370,4050.0,22759.0,24.0,886512.0,3237.0,37099.0,586.0,24915.0,599.0,26858481.0,707090.0,37984555.0
41,2021-03-24,159.0,CAR,5088,1.0,64.0,,4957.0,19.0,67.0,2.0,1040.0,13.0,38422.0,7856.0,4891042.0
42,2021-03-24,187.0,Caribbean Netherlands,1192,73.0,10.0,,727.0,79.0,455.0,,45148.0,379.0,8774.0,332323.0,26402.0
43,2021-03-24,197.0,Cayman Islands,482,,2.0,,449.0,1.0,31.0,,7271.0,30.0,80080.0,1208080.0,66287.0
44,2021-03-24,162.0,Chad,4453,13.0,158.0,,4072.0,13.0,223.0,,266.0,9.0,,,16767947.0
45,2021-03-24,166.0,Channel Islands,4046,,86.0,,3960.0,,0.0,1.0,23115.0,491.0,399901.0,2284666.0,175037.0
