,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
3,USA,"30,776,056","67,754","559,853 ","+1,227","23,196,209","+69,999","7,019,994","8,696","92,580","1,684","395,354,736","1,189,301","332,426,183 "
6,Brazil,"12,324,765","97,586","303,726 ","+2,639","10,772,549","+82,903","1,248,490","8,318","57,682","1,421","28,600,000","133,853","213,666,996 "
7,India,"11,846,082","59,069","160,983 ",+257,"11,262,503","+32,912","422,596","8,944","8,523",116,"237,503,882","170,874","1,389,938,347 "
8,Russia,"4,492,692","9,221","96,612 ",+393,"4,109,281","+10,881","286,799","2,300","30,776",662,"118,500,000","811,753","145,980,454 "
9,France,"4,424,087","45,641","93,912 ",+285,"286,607","+3,100","4,043,568","4,709","67,668","1,436","61,448,493","939,873","65,379,596 "
10,UK,"4,319,128","6,220","126,445 ",+63,"3,748,042","+18,887","444,641",683,"63,379","1,855","120,074,421","1,761,975","68,147,613 "
12,Italy,"3,464,632","23,798","106,799 ",+460,"2,794,888","+21,673","562,945","3,620","57,365","1,768","48,108,527","796,546","60,396,434 "
13,Spain,"3,247,738","6,393","74,420 ",+356,"3,007,623","+6,953","165,695","1,853","69,443","1,591","41,884,958","895,588","46,768,089 "
14,Turkey,"3,120,013","28,731","30,619 ",+157,"2,900,829","+19,186","188,565","1,790","36,705",360,"37,212,928","437,782","85,003,274 "
15,Germany,"2,732,130","22,258","76,116 ",+205,"2,456,200","+10,900","199,814","3,209","32,533",906,"48,979,281","583,221","83,980,634 "
16,Colombia,"2,359,942","6,732","62,519 ",+125,"2,250,063","+5,541","47,360","1,982","46,021","1,219","12,439,138","242,574","51,279,841 "
17,Argentina,"2,278,115","8,238","55,092 ",+146,"2,056,472","+7,437","166,551","3,585","50,069","1,211","8,517,821","187,207","45,499,515 "
18,Mexico,"2,208,755","5,714","199,627 ",+579,"1,748,317","+4,055","260,811","4,798","17,000","1,536","5,957,631","45,855","129,924,289 "
19,Poland,"2,154,823","34,153","50,862 ",+522,"1,722,856","+15,010","381,105","2,620","56,982","1,345","11,503,034","304,183","37,816,127 "
20,Iran,"1,830,823","7,506","62,142 ",+97,"1,569,697","+6,988","198,984","3,889","21,595",733,"12,349,804","145,670","84,779,068 "
21,Ukraine,"1,596,575","16,669","31,135 ",+362,"1,283,020","+6,748","282,420",177,"36,669",715,"7,836,049","179,973","43,540,188 "
22,South Africa,"1,541,563","1,554","52,535 ",+163,"1,467,254",+659,"21,774",546,"25,755",878,"9,722,821","162,438","59,855,524 "
23,Peru,"1,500,465","7,946","50,831 ",+175,"1,414,106","+7,802","35,528","2,276","45,049","1,526","8,950,031","268,709","33,307,537 "
24,Czechia,"1,495,454","8,841","25,552 ",+163,"1,299,270",+393,"170,632","1,874","139,455","2,383","11,490,915","1,071,556","10,723,575 "
25,Indonesia,"1,482,559","6,107","40,081 ",+98,"1,317,199","+4,656","125,279",,"5,379",145,"12,351,241","44,809","275,640,645 "
26,Netherlands,"1,228,647","7,702","16,397 ",+26,N/A,N/A,N/A,619,"71,588",955,"9,747,836","567,966","17,162,719 "
27,Chile,"954,762","6,979","22,524 ",+122,"892,973","+4,147","39,265","2,416","49,633","1,171","10,810,199","561,966","19,236,410 "
28,Canada,"951,562","5,192","22,790 ",+31,"889,850","+3,338","38,922",638,"25,051",600,"26,977,663","710,227","37,984,555 "
29,Romania,"919,794","6,651","22,719 ",+140,"825,208","+5,409","71,867","1,348","48,048","1,187","7,122,737","372,078","19,143,121 "
30,Belgium,"849,090","6,315","22,786 ",+23,"55,928",+236,"770,376",601,"73,030","1,960","10,693,594","919,749","11,626,638 "
31,Israel,"830,845",817,"6,163 ",+9,"813,014","+2,006","11,668",484,"90,333",670,"13,314,415","1,447,598","9,197,590 "
32,Portugal,"819,210",423,"16,814 ",+9,"770,448",+610,"31,948",154,"80,513","1,653","8,920,337","876,706","10,174,830 "
33,Iraq,"815,605","6,513","14,128 ",+33,"732,252","+4,781","69,225",484,"19,951",346,"7,793,654","190,649","40,879,544 "
34,Sweden,"780,018","6,356","13,365 ",+1,N/A,N/A,N/A,294,"76,884","1,317","6,627,544","653,253","10,145,443 "
35,Philippines,"693,018","8,743","13,095 ",+56,"580,026",+538,"99,897",785,"6,263",118,"9,871,613","89,217","110,647,325 "
36,Pakistan,"640,988","3,946","14,028 ",+63,"588,975","+2,747","37,985","2,587","2,861",63,"9,934,373","44,346","224,019,136 "
37,Hungary,"603,347","9,637","19,224 ",+272,"387,570","+5,763","196,553","1,467","62,573","1,994","4,403,317","456,667","9,642,302 "
38,Switzerland,"590,164","2,046","10,284 ",+8,"541,208","+1,102","38,672",168,"67,827","1,182","5,808,823","667,603","8,701,013 "
39,Bangladesh,"584,395","3,587","8,797 ",+34,"529,594","+1,985","46,004",,"3,523",53,"4,514,731","27,215","165,890,647 "
40,Serbia,"571,895","5,226","5,075 ",+36,"480,400","+3,005","86,420",242,"65,649",583,"3,330,762","382,343","8,711,461 "
41,Jordan,"571,290","8,433","6,277  ",+96,"463,893","+7,705","101,120",729,"55,588",611,"5,664,285","551,146","10,277,294 "
42,Austria,"526,393","3,124","9,178 ",+27,"483,460","+2,863","33,755",446,"58,203","1,015","6,568,554","726,281","9,044,089 "
43,Morocco,"493,353",511,"8,788 ",+2,"481,074",+467,"3,491",265,"13,251",236,"5,904,687","158,598","37,230,602 "
44,Japan,"460,897","1,854","8,938 ",+30,"437,702","+1,239","14,257",325,"3,652",71,"9,490,701","75,209","126,191,515 "
45,Lebanon,"452,281","3,560","5,964 ",+61,"353,342","+2,648","92,975",982,"66,483",877,"3,468,861","509,906","6,802,939 "
46,UAE,"448,637","2,043","1,466 ",+10,"431,773","+2,200","15,398",,"44,963",147,"36,247,630","3,632,824","9,977,810 "
47,Saudi Arabia,"386,782",482,"6,630 ",+6,"375,831",+360,"4,321",622,"10,985",188,"14,766,929","419,398","35,209,826 "
48,Slovakia,"354,182","1,654","9,313 ",+52,"255,300",,"89,569",693,"64,850","1,705","2,300,975","421,302","5,461,586 "
49,Panama,"352,579",497,"6,073 ",+8,"341,476",+502,"5,030",105,"80,786","1,391","2,104,908","482,294","4,364,367 "
50,Malaysia,"338,168","1,360","1,248 ",+2,"322,416","+1,491","14,504",157,"10,351",38,"7,372,592","225,674","32,669,226 "
51,Bulgaria,"321,104","3,988","12,512 ",+99,"244,472","+2,161","64,120",769,"46,470","1,811","2,023,997","292,913","6,909,888 "
52,Ecuador,"318,656","1,849","16,582 ",+42,"271,847",,"30,227",517,"17,863",930,"1,117,672","62,654","17,838,744 "
53,Belarus,"314,993","1,141","2,193 ",+9,"305,560","+1,083","7,240",,"33,343",232,"5,272,490","558,110","9,447,038 "
54,Georgia,"279,027",399,"3,732 ",+10,"271,278",+356,"4,017",,"70,045",937,"3,221,967","808,821","3,983,534 "
55,Nepal,"276,509",120,"3,020 ",,"272,272",+85,"1,217",,"9,367",102,"2,251,884","76,286","29,519,102 "
56,Bolivia,"267,059",973,"12,107 ",+14,"214,988","+1,209","39,964",71,"22,652","1,027","866,360","73,486","11,789,409 "
57,Croatia,"262,309","1,673","5,838 ",+10,"248,064",+856,"8,407",100,"64,187","1,429","1,503,437","367,893","4,086,614 "
58,Dominican Republic,"250,968",389,"3,295 ",+6,"210,042",+456,"37,631",145,"22,967",302,"1,290,819","118,125","10,927,552 "
59,Azerbaijan,"250,921","1,429","3,421 ",+17,"234,382",+548,"13,118",,"24,585",335,"2,807,861","275,116","10,206,114 "
60,Tunisia,"248,037",783,"8,663 ",+26,"214,407",+438,"24,967",281,"20,827",727,"1,079,149","90,615","11,909,140 "
61,Greece,"247,992","2,587","7,701 ",+52,"211,872","+2,436","28,419",699,"23,879",742,"6,307,247","607,309","10,385,560 "
62,Kazakhstan,"236,200","1,105","2,952 ",,"213,743",+835,"19,505",221,"12,470",156,"8,428,775","445,002","18,940,998 "
63,Ireland,"232,758",594,"4,631 ",+3,"23,364",,"204,763",75,"46,756",930,"3,896,983","782,818","4,978,147 "
64,Palestine,"232,038","1,962","2,521 ",+20,"205,289","+1,949","24,228",205,"44,728",486,"1,493,310","287,855","5,187,709 "
65,Denmark,"225,844",,"2,409 ",+4,"214,922",,"8,513",46,"38,891",415,"23,267,463","4,006,674","5,807,176 "
66,Kuwait,"224,432","1,390","1,258 ",+2,"208,771","+1,379","14,403",247,"51,991",291,"2,005,458","464,580","4,316,712 "
67,Moldova,"222,120","2,132","4,702 ",+41,"195,558","+1,996","21,860",349,"55,157","1,168","823,208","204,419","4,027,065 "
68,Costa Rica,"213,438",,"2,908 ",,"190,950",,"19,580",147,"41,621",567,"775,821","151,286","5,128,187 "
69,Lithuania,"211,860",825,"3,523 ",+6,"196,067",+516,"12,270",141,"78,635","1,308","2,295,275","851,923","2,694,227 "
70,Slovenia,"209,753","1,164","3,998 ",+4,"194,238",+855,"11,517",107,"100,884","1,923","1,027,457","494,172","2,079,148 "
71,Paraguay,"202,700","1,877","3,910 ",+41,"166,002","+1,601","32,788",405,"28,166",543,"875,018","121,587","7,196,618 "
72,Egypt,"198,011",661,"11,768 ",+48,"151,765",+321,"34,478",90,"1,909",113,"2,506,118","24,157","103,741,837 "
73,Ethiopia,"194,524","1,949","2,741 ",+23,"151,172",+530,"40,611",744,"1,662",23,"2,308,568","19,726","117,034,261 "
74,Guatemala,"191,207",999,"6,765 ",+16,"173,765",+464,"10,677",5,"10,531",373,"1,029,304","56,688","18,157,269 "
75,Armenia,"187,441","1,257","3,416 ",+18,"169,727",+242,"14,298",,"63,169","1,151","822,634","277,232","2,967,311 "
76,Honduras,"184,821",790,"4,506 ",+17,"69,935",+477,"110,380",461,"18,446",450,"499,931","49,895","10,019,634 "
77,Qatar,"175,919",587,281 ,+3,"161,815",+327,"13,823",233,"62,654",100,"1,694,463","603,483","2,807,805 "
78,Nigeria,"162,275",97,"2,036 ",+5,"149,882","+1,156","10,357",10,773,10,"1,727,467","8,232","209,854,703 "
79,Bosnia and Herzegovina,"160,163","1,965","6,144 ",+77,"127,799",+552,"26,220",,"49,043","1,881","764,199","234,002","3,265,783 "
80,Libya,"155,232",912,"2,591 ",+9,"142,633","+1,220","10,008",,"22,369",373,"838,770","120,867","6,939,591 "
81,Venezuela,"154,165",850,"1,532 ",+11,"142,909",+528,"9,724",162,"5,433",54,"3,102,996","109,350","28,376,650 "
82,Oman,"153,838",733,"1,650 ",+6,"140,766",+546,"11,422",128,"29,578",317,"1,550,000","298,018","5,201,034 "
83,Myanmar,"142,315",23,"3,204 ",,"131,774",+2,"7,337",,"2,603",59,"2,528,779","46,249","54,677,220 "
84,Bahrain,"139,124",841,508 ,+1,"131,115",+718,"7,501",53,"79,756",291,"3,483,259","1,996,853","1,744,374 "
85,Kenya,"126,170","1,463","2,092 ",+26,"91,268",+498,"32,810",121,"2,309",38,"1,443,701","26,425","54,633,685 "
86,North Macedonia,"123,491","1,264","3,574 ",+29,"103,374",+722,"16,543",124,"59,276","1,716","603,679","289,769","2,083,311 "
87,Albania,"122,767",472,"2,184 ",+13,"87,760",+567,"32,823",46,"42,694",760,"537,833","187,041","2,875,486 "
88,Algeria,"116,543",105,"3,071 ",+2,"81,065",,"32,407",17,"2,623",69,"230,658","5,192","44,428,663 "
89,Estonia,"100,436","1,428",836 ,+13,"71,376",+463,"28,224",69,"75,676",630,"1,110,888","837,022","1,327,191 "
90,S. Korea,"100,276",430,"1,709 ",+2,"92,068",+508,"6,499",111,"1,955",33,"7,485,859","145,919","51,301,609 "
91,Latvia,"99,476",606,"1,864 ",+13,"90,537",+627,"7,075",69,"53,173",996,"1,810,507","967,768","1,870,807 "
92,Sri Lanka,"91,289",271,554 ,+2,"87,881",+251,"2,854",,"4,250",26,"2,352,000","109,502","21,479,141 "
93,Norway,"90,935",831,656 ,,"74,332",,"15,947",45,"16,678",120,"4,464,591","818,845","5,452,305 "
94,Uruguay,"90,550","1,646",856  ,+13,"72,919","+1,331","16,775",236,"26,001",246,"1,276,551","366,555","3,482,568 "
95,China,"90,136",11,"4,636 ",,"85,335",+4,165,,63,3,"160,000,000","111,163","1,439,323,776 "
96,Ghana,"89,999",106,737 ,+3,"86,621",+373,"2,641",46,"2,853",23,"979,476","31,050","31,545,457 "
97,Montenegro,"88,991",441,"1,230 ",+6,"80,243",+609,"7,518",69,"141,677","1,958","328,860","523,559","628,124 "
98,Kyrgyzstan,"87,758",106,"1,494 ",+2,"84,407",+68,"1,857",16,"13,291",226,"827,068","125,261","6,602,771 "
99,Zambia,"87,318",325,"1,191 ",+4,"83,895",+278,"2,232",113,"4,655",63,"1,218,744","64,973","18,757,749 "
100,Uzbekistan,"81,816",138,624 ,+1,"80,143",+98,"1,049",23,"2,419",18,"1,377,915","40,738","33,823,620 "
101,Finland,"74,242",726,815 ,+4,"46,000",,"27,427",59,"13,384",147,"3,843,882","692,960","5,547,044 "
102,Cuba,"69,802",816,408 ,+3,"66,004",+827,"3,390",64,"6,165",36,"2,863,281","252,906","11,321,533 "
103,Mozambique,"66,762",113,753 ,+1,"54,095",+292,"11,914",,"2,093",24,"471,022","14,770","31,891,180 "
104,El Salvador,"63,766",,"1,993 ",+3,"61,009",,764,35,"9,795",306,"827,129","127,051","6,510,216 "
105,Singapore,"60,253",17,30 ,,"60,086",+8,137,,"10,240",5,"8,307,697","1,411,899","5,884,058 "
106,Luxembourg,"60,205",298,736 ,+8,"56,044",+202,"3,425",17,"95,049","1,162","2,342,279","3,697,870","633,413 "
107,Afghanistan,"56,254",28,"2,469 ",+2,"49,937",+135,"3,848","1,105","1,422",62,"337,560","8,531","39,566,530 "
109,Cameroon,"47,669","7,047",721 ,+120,"35,261",,"11,687",53,"1,764",27,"905,000","33,486","27,026,325 "
110,Cyprus,"43,610",324,248 ,,"2,057",,"41,305",22,"35,928",204,"3,016,113","2,484,850","1,213,801 "
111,Namibia,"43,010",146,502 ,,"40,884",+908,"1,624",30,"16,706",195,"338,019","131,296","2,574,471 "
112,Ivory Coast,"42,074",767,229 ,+5,"37,797",+477,"4,048",,"1,567",9,"497,211","18,516","26,853,250 "
113,Uganda,"40,734",14,334 ,,"15,147",+8,"25,253",,871,7,"924,770","19,765","46,787,940 "
114,Botswana,"38,466",907,506 ,+21,"33,903","+1,353","4,057",1,"16,120",212,"910,730","381,661","2,386,229 "
115,Senegal,"38,255",121,"1,028 ",+5,"35,811",+303,"1,416",38,"2,242",60,"430,703","25,240","17,064,529 "
116,Jamaica,"37,128",458,546 ,+1,"16,739",+121,"19,843",44,"12,498",184,"270,017","90,895","2,970,652 "
