,Country_Other,Distance,Neigbour
0,Abkhazia,141.0,Georgia
1,Abkhazia,241.0,Russia
2,Afghanistan,0.0,India
3,Afghanistan,935.0,Iran
4,Afghanistan,0.0,Kashmir
5,Afghanistan,2430.0,Pakistan
6,Afghanistan,76.0,People's Republic of China
7,Afghanistan,1206.0,Tajikistan
8,Afghanistan,744.0,Turkmenistan
9,Afghanistan,137.0,Uzbekistan
10,Albania,282.0,Greece
11,Albania,0.0,Kosovo
12,Albania,172.0,Montenegro
13,Albania,151.0,North Macedonia
14,Algeria,982.0,Libya
15,Algeria,1376.0,Mali
16,Algeria,463.0,Mauritania
17,Algeria,1559.0,Morocco
18,Algeria,956.0,Niger
19,Algeria,1010.0,Tunisia
20,Algeria,0.0,Western Sahara
21,Andorra,57.0,France
22,Andorra,64.0,Spain
23,Argentina,832.0,Bolivia
24,Argentina,1224.0,Brazil
25,Argentina,0.0,Chile
26,Argentina,1880.0,Paraguay
27,Argentina,579.0,Uruguay
28,Armenia,0.0,Azerbaijan
29,Armenia,164.0,Georgia
30,Armenia,35.0,Iran
31,Armenia,268.0,Turkey
32,Austria,362.0,Czech Republic
33,Austria,784.0,Germany
34,Austria,366.0,Hungary
35,Austria,430.0,Italy
36,Austria,34.0,Liechtenstein
37,Austria,91.0,Slovakia
38,Austria,330.0,Slovenia
39,Austria,0.0,Switzerland
40,Azerbaijan,0.0,Armenia
41,Azerbaijan,322.0,Georgia
42,Azerbaijan,0.0,Iran
43,Azerbaijan,284.0,Russia
44,Azerbaijan,0.0,Turkey
45,Bangladesh,0.0,India
46,Bangladesh,193.0,Myanmar
47,Belarus,141.0,Latvia
48,Belarus,502.0,Lithuania
49,Belarus,407.0,Poland
50,Belarus,959.0,Russia
51,Belarus,891.0,Ukraine
52,Belgium,620.0,France
53,Belgium,0.0,Germany
54,Belgium,148.0,Luxembourg
55,Belgium,0.0,Netherlands
56,Belize,266.0,Guatemala
57,Belize,250.0,Mexico
58,Benin,306.0,Burkina Faso
59,Benin,266.0,Niger
60,Benin,773.0,Nigeria
61,Benin,644.0,Togo
62,Bhutan,605.0,India
63,Bhutan,470.0,People's Republic of China
64,Bolivia,832.0,Argentina
65,Bolivia,3400.0,Brazil
66,Bolivia,861.0,Chile
67,Bolivia,750.0,Paraguay
68,Bolivia,900.0,Peru
69,Bosnia and Herzegovina,0.0,Croatia
70,Bosnia and Herzegovina,225.0,Montenegro
71,Bosnia and Herzegovina,0.0,Serbia
72,Botswana,1360.0,Namibia
73,Botswana,1840.0,South Africa
74,Botswana,0.0,Zambia
75,Botswana,813.0,Zimbabwe
76,Brazil,1224.0,Argentina
77,Brazil,3400.0,Bolivia
78,Brazil,1643.0,Colombia
79,Brazil,673.0,France
80,Brazil,0.0,French Guiana
81,Brazil,1119.0,Guyana
82,Brazil,1290.0,Paraguay
83,Brazil,1560.0,Peru
84,Brazil,597.0,Suriname
85,Brazil,985.0,Uruguay
86,Brazil,2200.0,Venezuela
87,Brunei,0.0,Malaysia
88,Bulgaria,494.0,Greece
89,Bulgaria,148.0,North Macedonia
90,Bulgaria,608.0,Romania
91,Bulgaria,318.0,Serbia
92,Bulgaria,240.0,Turkey
93,Burkina Faso,306.0,Benin
94,Burkina Faso,584.0,Côte d'Ivoire
95,Burkina Faso,549.0,Ghana
96,Burkina Faso,1000.0,Mali
97,Burkina Faso,628.0,Niger
98,Burkina Faso,126.0,Togo
99,Burundi,233.0,Democratic Republic of the Congo
100,Burundi,290.0,Rwanda
101,Burundi,451.0,Tanzania
102,Cambodia,541.0,Laos
103,Cambodia,803.0,Thailand
104,Cambodia,1228.0,Vietnam
105,Cameroon,797.0,Central African Republic
106,Cameroon,1094.0,Chad
107,Cameroon,189.0,Equatorial Guinea
108,Cameroon,298.0,Gabon
109,Cameroon,1690.0,Nigeria
110,Cameroon,523.0,Republic of the Congo
111,Canada,0.0,United States
112,Central African Republic,797.0,Cameroon
113,Central African Republic,1197.0,Chad
114,Central African Republic,1577.0,Democratic Republic of the Congo
115,Central African Republic,467.0,Republic of the Congo
116,Central African Republic,682.0,South Sudan
117,Central African Republic,483.0,Sudan
118,Chad,1094.0,Cameroon
119,Chad,1197.0,Central African Republic
120,Chad,1055.0,Libya
121,Chad,1175.0,Niger
122,Chad,87.0,Nigeria
123,Chad,1360.0,Sudan
124,Chile,0.0,Argentina
125,Chile,861.0,Bolivia
126,Chile,160.0,Peru
127,Colombia,1643.0,Brazil
128,Colombia,590.0,Ecuador
129,Colombia,225.0,Panama
130,Colombia,1496.0,Peru
131,Colombia,2050.0,Venezuela
132,Costa Rica,309.0,Nicaragua
133,Costa Rica,330.0,Panama
134,Côte d'Ivoire,584.0,Burkina Faso
135,Côte d'Ivoire,668.0,Ghana
136,Côte d'Ivoire,610.0,Guinea
137,Côte d'Ivoire,716.0,Liberia
138,Côte d'Ivoire,532.0,Mali
139,Croatia,0.0,Bosnia and Herzegovina
140,Croatia,329.0,Hungary
141,Croatia,25.0,Montenegro
142,Croatia,241.0,Serbia
143,Croatia,670.0,Slovenia
144,Cyprus,0.0,Akrotiri and Dhekelia
145,Cyprus,0.0,United Kingdom
146,Czech Republic,362.0,Austria
147,Czech Republic,815.0,Germany
148,Czech Republic,658.0,Poland
149,Czech Republic,215.0,Slovakia
150,Democratic Republic of the Congo,0.0,Angola
151,Democratic Republic of the Congo,233.0,Burundi
152,Democratic Republic of the Congo,1577.0,Central African Republic
153,Democratic Republic of the Congo,2410.0,Republic of the Congo
154,Democratic Republic of the Congo,217.0,Rwanda
155,Democratic Republic of the Congo,628.0,South Sudan
156,Democratic Republic of the Congo,459.0,Tanzania
157,Democratic Republic of the Congo,765.0,Uganda
158,Democratic Republic of the Congo,1930.0,Zambia
159,Denmark,68.0,Germany
160,Djibouti,125.0,Eritrea
161,Djibouti,342.0,Ethiopia
